ID,Marque,Nom
88340001,Intermarché,INTERMARCHE SUPER
69210005,Système U,STATION SUPER U  PAYS DE L'ARBRESLE
59750004,Carrefour Market,Carrefour Market
82200001,Total,SARL RELAIS DU CHASSELAS
37170007,Total Access,RELAIS CROIX FOUCREAU
61100010,,
32190001,Carrefour Market,Carrefour Market
54300002,Total,SARL ST POMPIDOU
71620002,Total,M. PETIOT PASCAL
9300005,,
5240003,,
44740002,Avia,BATZ AUTO SERVICES
31790004,,
94420005,,
72130006,,
31480002,Carrefour Contact,CARREFOUR CONTACT
46000008,Netto,NETTO LES MOUSQUETAIRES
68190001,Intermarché,INTERMARCHE ENSISHEIM
43200006,Indépendant sans enseigne,STATION J.V.F
19150001,,
42170004,,
1230003,Elan,STATION ELAN GARAGE BOLLEY
13550001,Total,STATION TOTAL M. HACHIMI PATRICK
13630001,,
74220001,Elan,GARAGE DU ROCHER
21000010,Esso Express,ESSO SCHUMANN
29880003,,
34070017,Total,RELAIS ABRIVADO
62450003,Intermarché,INTERMARCHE BAPAUME
52330002,Avia,Aux p'tites autos
43170002,Indépendant sans enseigne,LONJON
44720002,,
83480001,Carrefour,Carrefour puget sur argens
57700002,Esso Express,ESSO HAYANGE
59300005,Esso Express,ESSO VALENCIENNES
66000010,Esso Express,ESSO PERPINYA
62127001,Esso,SARL CHEZ LEGRIS
78200012,Total,RELAIS LA VILLE JOLIE
26340000,Indépendant sans enseigne,SARL CARBURANTS SERVICES
48100006,Indépendant sans enseigne,STATION DAUDE
28100003,CORA,CORA DREUX
7430004,,
82100004,Leclerc,SA SODIART
68130003,Leclerc,ALDIS
46000013,,
87210003,Intermarché Contact,INTERMARCHE LE DORAT
85750002,Intermarché Contact,INTERMARCHE  ANGLES
29870002,Super Casino,SUPERMARCHE CASINO
13640001,Total,GARAGE  SL MOTORS
89100014,Total Access,RELAIS DE ROSOY
4100010,Total,RELAIS DES PONCHES
33124001,,
2200013,Total,RELAIS MAUPAS
35132004,Total Access,RELAIS LES TROIS MARCHES
80160003,Carrefour Contact,CARREFOUR CONTACT
75019015,Total,RELAIS PARIS MANIN
67600006,Intermarché,INTERMARCHE SELESTAT
44210002,Intermarché,INTERMARCHE PORNIC
55100001,CORA,Cora Verdun
37110002,Carrefour Market,Carrefour Market
67800004,Système U,SUPER U
35301001,Carrefour,CARREFOUR FOUGERES
13700010,Total,RELAIS DE BOLMON
73300004,Intermarché,Intermarché
61400001,Système U,STATION U
37260001,Système U,Super U MONTS
45150003,Casino,Sas pomalin
94220003,Avia,STATION AVIA
9100003,Total,SARL PYRENEES AUTOS
45800001,Simply Market,SIMPLY MARKET
40120001,Carrefour Contact,SARL SODICANTI - Station
17310003,Total,SARL RAFAEL NETO
69260011,,
62101001,Carrefour,CARREFOUR CALAIS MIVOIX
69651001,Total,EOR LIMAS VILLEFRANCHE AU
83440002,Total,MR PELASSY ELIE
22150004,Ecomarché,ECOMARCHE PLOUGUENAST
60300007,Total,RELAIS 3 FORETS
75019014,Total,RELAIS PARIS 19
46340002,,
45430003,Agip,AGIP CHECY AV D'ORLEANS
73110003,Système U,SUPER U DETRIER
62300006,Esso Express,ESSO BOLLAERT
60300010,,
26620001,Avia,SARL PARRON JEAN - AUTOMAT24
24550001,,
12200006,Elan,Station du rouergue
65000010,Total Access,RELAIS TARBES URAC
30130003,Carrefour Market,Carrefour Market
76720003,,
69260012,,
45270001,Simply Market,SIMPLY MARKET
44250003,Leclerc,BREVIDIS
62510002,Carrefour Market,Carrefour Market
9500001,Total,SARL SJCP
76200003,Indépendant sans enseigne,SAS MARCHAND
95440002,,
16000005,Intermarché,INTERMARCHE ANGOULEME - CC PLEIN SUD
62550002,,
27250002,Intermarché,INTERMARCHE BOIS ARNAULT
54830001,Indépendant sans enseigne,Sarl Garage Blosse Station de la Mortagne
16730001,Avia,GARAGE CHAUVEAU SARL
44300018,,
73120002,Avia,COURCHEVEL AUTOS SERVICES
63360001,Carrefour Market,Carrefour Market
17630001,Intermarché,INTERMARCHE LA FLOTTE EN RE
46300009,,
51100001,Carrefour Market,Carrefour Market
1190001,Atac,ATAC Saint Bénigne
2320001,Carrefour Market,Carrefour Market
72450001,Système U,Super U MONTFORT LE GESNOIS
35240001,Système U,Super U RETIERS
13740001,Total,LE ROVE AUTOMOBILES ET SERVICES
46350002,Total,sas PAYRAC AUTO SERVICES
59200009,Avia,STATION AVIA RELAIS DE LA LYS
38630005,,
76420001,Système U,SUPER U
84250001,Intermarché,INTERMARCHE LE THOR
28112001,Géant,GEANT CASINO
68150003,Leclerc,RIBODIS
30132002,Intermarché,INTERMARCHE CAISSARGUES
61200001,Carrefour Market,Carrefour Market
1500004,Avia,GARAGE VINCENT SAS
32000001,Carrefour,CARREFOUR
60600006,Indépendant sans enseigne,SA AUTOSERVICES
33830001,Système U,SUPER U
71600009,,
24100014,Total Access,RELAIS BERGERAC LA SOURCE
83190005,Intermarché,INTERMARCHE OLLIOULES
4103001,Système U,HYPER U
13800004,Leclerc,SODISTRES SA
5500001,Intermarché,INTERMARCHE LA FARE EN CHAMPSAUR
66470002,,
38870001,Intermarché,INTERMARCHE ST SIMEON BRESSIEUX
57200001,Total,GARAGE SCHWINDT
72210001,Système U,Super U LA SUZE SUR SARTHE
66300014,Système U,SUPER U  LES ASPRES
13410002,Casino,CASINO SUPERMARCHE
40270005,,
33240003,Total,RELAIS DES QUATRE VENTS
41100004,Leclerc,Leclerc VendOme
83660002,Intermarché,INTERMARCHE CARNOULES
70800002,Total,SA DORMOY FRERES
39100003,Total,Total jmt autos
56370003,Casino,CASINO SUPERMARCHE
16000008,Total Access,RELAIS ANGOULEME SILLAC STAR
13170010,Indépendant sans enseigne,Le petit Chateau
64604001,Leclerc,E LECLERC
57155002,Leclerc,MAR-DIS SAS
17700003,Leclerc,SODISUR
76220010,,
42640001,Total,EURL PAYRARD
6130012,,
33700022,Total Access,RELAIS DE GIRONDE
49122001,Intermarché,INTERMARCHE LE MAY SUR EVRE
83310007,Leclerc,E.LECLERC
17210005,,
91250004,Total,EOR SAINTRY GGE DES BROSS
39150001,Système U,SAS RACHADIS
59650002,Supermarché Match,SUPERMARCHES MATCH  VILLENEUVE D'ASCQ
62138002,Carrefour,CARREFOUR AUCHY LES MINES
24200001,Carrefour Market,Carrefour Market
85110005,Total,Garage de la mozee
36000016,Total Access,RELAIS DE TOUT VENT
91380010,Total,RELAIS DE CHILLY
74300001,Carrefour,CARREFOUR CLUSES
79140001,Système U,Super U CERIZAY
2100011,Total Access,POREZ AUTO LOCA STATION
39100006,Intermarché,INTERMARCHE DOLE
29200010,Intermarché,INTERMARCHE BREST
33520002,Esso,ESSO AQUITAINE 2
83400001,Géant,GEANT CASINO
25500007,,
28190003,Système U,Super u
10340001,Avia,SARL GARAGE ROY
79000015,,
64800004,Elan,FERRAN STE D'EXPL.
19100014,,
76490002,Carrefour Market,Carrefour Market
33320003,Intermarché,INTERMARCHE EYSINES
81000003,Total,STATION TOTAL BRUZZECHESSE
28330003,PROXI SUPER,PROXI SUPER
66360001,,
44530003,Système U,Super U ST GILDAS DES BOIS
29000005,Casino,CASINO SUPERMARCHE
60650006,,
60210002,Carrefour Market,Carrefour Market
69400016,,
84300006,Intermarché,SAS PAFICO
19316001,,
59320001,Auchan,AUCHAN ENGLOS
87000029,,
26600013,Total,RELAIS PONT DE L'ISERE
77260011,,
94537002,Total,RELAIS RUNGIS HALLES
56910001,Système U,Super U CARENTOIR
20137008,VITO,STATION VITO ST CYPRIEN
16110004,AVIA,ETS BORDIER
39230004,CocciMarket,CocciMarket
42450001,Elan,SARL GARAGE BARCET
15190001,ESSO,DESSERT
58140001,Maximarché,MAXIMARCHE LORMES
85490001,Intermarché,INTERMARCHE BENET
85130006,,
67000029,,
36330001,Shell,SGAR SAS
77300005,,
64440002,Intermarché,INTERMARCHE LARUNS
72000014,Intermarché,INTERMARCHE LE MANS
13320005,Esso,ESSO CABRIES
21200005,Leclerc,DISTRIBEAUNE
69560001,Système U,U EXPRESS ST ROMAIN EN GAL
32100001,Total,MR BOUE CLAUDE
6460002,,
20156001,VITO,BARTOLI SARL
69007012,,
